Libelle_commune,Annee,Candidats
Aigremont,2022,"['SALA', 'LAUNAY']"
Aiguebelette-le-Lac,2012,"['DORD', 'CARACO']"
Aiguebelle,2007,"['LACLAIS', 'BOUVARD']"
Aiguebelle,2012,"['SANTAIS', 'CHARVOZ']"
Aigueblanche,2012,"['RIEU', 'GAYMARD']"
Aiguefonde,2007,"['COLLANGE', 'CARAYON']"
Aiguefonde,2012,"['GOURJADE', 'CARAYON']"
Aiguefonde,2017,"['TERLIER', 'CARAYON']"
Aiguefonde,2022,"['TERLIER', 'LASSALLE']"
Aigueperse,2007,"['MICHEL', 'SIKORA']"
Aigueperse,2012,"['MEYER', 'PERRUT', 'MULLER', 'PIRES BEAUNE']"
Aigues-Juntes,2007,"['MASSAT', 'ROUGE']"
Aigues-Juntes,2022,"['TAURINE', 'TRIBOUT']"
Aigues-Mortes,2007,"['MOURRUT', 'CRAUSTE']"
Aigues-Mortes,2012,"['MOURRUT', 'GUYOT']"
Aigues-Mortes,2017,"['MARIE SARA', 'COLLARD']"
Aigues-Mortes,2022,"['MEIZONNET', 'LACHAUD']"
Aigues-Vives,2007,"['NAYROU', 'CALLEJA', 'DUMAS', 'RUAS', 'CHESA', 'ROQUES', 'MESQUIDA', 'PEREZ']"
Aigues-Vives,2012,"['MORIO', 'MOURRUT', 'CALLEJA', 'CALANDRI', 'FAURÉ', 'MESQUIDA', 'PEREZ', 'GUYOT']"
Aigues-Vives,2017,"['ARDINAT', 'HÉRIN', 'BARTHÈS', 'COLLARD', 'MARIE SARA', 'HUPPÉ']"
Aigues-Vives,2022,"['GALZY', 'POLARD', 'BARTHÈS', 'PANIFOUS', 'COURRIÈRE CALMON', 'MEIZONNET', 'LARIVE', 'LACHAUD']"
Aiguilhe,2007,"['CHAPAVEIRE', 'PRORIOL']"
Aiguilhe,2012,"['CHAPAVEIRE', 'VIGIER']"
Aiguilles,2007,"['GIRAUD', 'BAYROU']"
Aiguilles,2012,"['GIRAUD', 'EYMEOUD']"
Aiguillon,2007,"['DIEFENBACHER', 'GOUZES']"
Aiguillon,2012,"['DIEFENBACHER', 'FEKL']"
Aiguines,2007,"['PINEAU', 'COUVE']"
Aiguines,2012,"['AUDIBERT-TROIN', 'CLAP']"
Aigurande,2007,"['FORISSIER', 'BECHTEL']"
Aigurande,2012,"['FORISSIER', 'BRUNEAU']"
Aiguèze,2007,"['PISSAS', 'ROUBAUD']"
Aiguèze,2012,"['VERDIER', 'ROUSTAN']"
Aiguèze,2017,"['ROULLAUD', 'CHAPELIER']"
Aiguèze,2022,"['MEURIN', 'BORD']"
Ailhon,2007,"['LOUIS', 'FLORY']"
Ailhon,2012,"['FLORY', 'BUIS']"
Aillant-sur-Milleron,2012,"['GABORET', 'DOOR']"
Aillant-sur-Tholon,2007,"['SOISSON', 'LE CORRE']"
Aillant-sur-Tholon,2012,"['FEREZ', 'LARRIVE']"
Aillas,2007,"['FAURE', 'DUBOURG']"
Aillas,2012,"['FAURE', ""D'AMECOURT""]"
Ailleux,2012,"['FAURE', 'SALEN']"
Aillevans,2007,"['BRIOT', 'VILLAUMÉ']"
Aillevans,2012,"['RAISON', 'VILLAUME']"
Ailleville,2007,"['BRET', 'DHUICQ']"
Ailleville,2012,"['GAUDOT', 'DHUICQ']"
Aillevillers-et-Lyaumont,2012,"['RAISON', 'VILLAUME']"
Aillianville,2012,"['CORNUT-GENTILLE', 'MAILLOT']"
Aillières-Beauvoir,2007,"['LE MENER', 'ROUILLON']"
Aillières-Beauvoir,2012,"['LE MENER', 'ROUILLON']"
Aillon-le-Jeune,2012,"['LACLAIS', 'BRUNET']"
Aillon-le-Vieux,2012,"['LACLAIS', 'BRUNET']"
Ailloncourt,2012,"['RAISON', 'VILLAUME']"
Ailly,2007,"['MIQUEL', 'LONCLE']"
Ailly,2012,"['PRIOLLAUD', 'LONCLE']"
Ailly-le-Haut-Clocher,2007,"['HART', 'MATHON']"
Ailly-le-Haut-Clocher,2012,"['BOISTARD', 'DECAYEUX']"
Ailly-sur-Noye,2007,"['GEST', 'FLEURY']"
Ailly-sur-Noye,2012,"['GEST', 'QUIGNON']"
Ailly-sur-Somme,2007,"['GREMETZ', 'BOURGOIS']"
Ailly-sur-Somme,2012,"['BOISTARD', 'DECAYEUX']"
Aimargues,2007,"['MOURRUT', 'CRAUSTE']"
Aimargues,2012,"['MOURRUT', 'GUYOT']"
Aimargues,2017,"['MARIE SARA', 'COLLARD']"
Aimargues,2022,"['MEIZONNET', 'LACHAUD']"
Aime,2012,"['RIEU', 'GAYMARD']"
Ainay-le-Château,2007,"['MALLOT', 'SIMON']"
Ainay-le-Château,2012,"['DUGLERY', 'LESTERLIN']"
Ainay-le-Vieil,2007,"['GALUT', 'COSYNS']"
Ainay-le-Vieil,2012,"['GALUT', 'COSYNS']"
Aincille,2007,"['DOMECQ', 'LASSALLE']"
Aincille,2012,"['MAITIA', 'LASSALLE']"
Aincourt,2007,"['DROLON', 'HOUILLON']"
Aincourt,2012,"['GRUNDLER', 'HOUILLON']"
Aincreville,2007,"['BECQ-VINCI', 'DUMONT']"
Aincreville,2012,"['LEONARD', 'DUMONT']"
Aingeray,2007,"['MORANO', 'PILOT']"
Aingeray,2012,"['POTIER', 'MORANO']"
Aingeville,2007,"['FRANQUEVILLE', 'GAULTIER']"
Aingeville,2012,"['FRANQUEVILLE', 'GAULTIER']"
Aingoulaincourt,2012,"['CORNUT-GENTILLE', 'MAILLOT']"
Ainharp,2007,"['DOMECQ', 'LASSALLE']"
Ainharp,2012,"['MAITIA', 'LASSALLE']"
Ainhice-Mongelos,2007,"['DOMECQ', 'LASSALLE']"
Ainhice-Mongelos,2012,"['MAITIA', 'LASSALLE']"
Ainhoa,2007,"['ALLIOT-MARIE', 'ALAUX']"
Ainhoa,2012,"['ALLIOT-MARIE', 'ALAUX']"
Ainvelle,2007,"['FRANQUEVILLE', 'GAULTIER']"
Ainvelle,2012,"['RAISON', 'FRANQUEVILLE', 'VILLAUME', 'GAULTIER']"
Airaines,2007,"['PEILLON', 'BIGNON']"
Airaines,2012,"['BUISINE', 'BIGNON']"
Airan,2007,"['TOURRET', 'COUSIN']"
Airan,2012,"['TOURRET', 'COUSIN']"
Aire,2007,"['POLETTI', 'LEDOUX']"
Aire,2012,"['POLETTI', 'LEDOUX']"
Aire-sur-l'Adour,2007,"['EMMANUELLI', 'TAUZIN']"
Aire-sur-la-Lys,2012,"['LEFAIT', 'DECOSTER']"
Airel,2007,"['GOSSELIN', 'DESCHAMPS']"
Airel,2012,"['GOSSELIN', 'LE COZ']"
Airion,2012,"['GEWERC', 'COURTIAL']"
Airon-Notre-Dame,2007,"['LENA', 'FASQUELLE']"
Airon-Notre-Dame,2012,"['LENA', 'FASQUELLE']"
Airon-Saint-Vaast,2007,"['LENA', 'FASQUELLE']"
Airon-Saint-Vaast,2012,"['LENA', 'FASQUELLE']"
Airoux,2007,"['SALVIGNOL', 'DUPRE']"
Airoux,2012,"['DUPRE', 'BRESSON']"
Airoux,2017,"['ROBERT', 'VIOLA']"
Airoux,2022,"['ADDA--NETTER', 'RANCOULE']"
Airvault,2012,"['GRELLIER', 'MOUILLER']"
Aiserey,2007,"['BEAUDOUVI', 'DARCIAUX']"
Aiserey,2012,"['CARAVEL', 'BOUZIANE']"
Aisey-et-Richecourt,2012,"['CHRETIEN', 'CHAUVELOT-DUBAN']"
Aisey-sur-Seine,2012,"['MOLINOZ', 'SAUVADET']"
Aisonville-et-Bernoville,2007,"['MEURA', 'BALLIGAND']"
Aisonville-et-Bernoville,2012,"['MEURA', 'BRICOUT']"
Aisy-sous-Thil,2012,"['MOLINOZ', 'SAUVADET']"
Aisy-sur-Armançon,2007,"['ROLLAND', 'CAULLET']"
